REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,ORIGINAL_DEMAND,MODELLED_DEMAND
VIC1,2025-01-01 06:35:00,4886.590606060606,59.79681818181818,AVERAGE,4886.590606060606,4886.590606060606
VIC1,2025-01-01 06:40:00,4896.945303030303,58.83984848484848,AVERAGE,4896.945303030303,4896.945303030303
VIC1,2025-01-01 06:45:00,4878.817727272728,53.35469696969697,AVERAGE,4878.817727272728,4878.817727272728
VIC1,2025-01-01 06:50:00,4854.496969696969,47.77409090909091,AVERAGE,4854.496969696969,4854.496969696969
VIC1,2025-01-01 06:55:00,4829.926212121212,47.10227272727273,AVERAGE,4829.926212121212,4829.926212121212
VIC1,2025-01-01 07:00:00,4807.189242424242,42.6789393939394,AVERAGE,4807.189242424242,4807.189242424242
VIC1,2025-01-01 07:05:00,4795.396515151515,45.31166666666667,AVERAGE,4795.396515151515,4795.396515151515
VIC1,2025-01-01 07:10:00,4734.256515151516,39.85121212121212,AVERAGE,4734.256515151516,4734.256515151516
VIC1,2025-01-01 07:15:00,4713.940454545455,40.59515151515152,AVERAGE,4713.940454545455,4713.940454545455
VIC1,2025-01-01 07:20:00,4679.677727272727,33.4960606060606,AVERAGE,4679.677727272727,4679.677727272727
VIC1,2025-01-01 07:25:00,4663.161363636364,29.023030303030303,AVERAGE,4663.161363636364,4663.161363636364
VIC1,2025-01-01 07:30:00,4627.20606060606,26.673030303030306,AVERAGE,4627.20606060606,4627.20606060606
VIC1,2025-01-01 07:35:00,4601.8474242424245,28.983636363636364,AVERAGE,4601.8474242424245,4601.8474242424245
VIC1,2025-01-01 07:40:00,4559.06287878788,28.08939393939394,AVERAGE,4559.06287878788,4559.06287878788
VIC1,2025-01-01 07:45:00,4530.0881818181815,24.091363636363635,AVERAGE,4530.0881818181815,4530.0881818181815
VIC1,2025-01-01 07:50:00,4506.373181818182,22.47515151515152,AVERAGE,4506.373181818182,4506.373181818182
VIC1,2025-01-01 07:55:00,4471.088484848486,21.46393939393939,AVERAGE,4471.088484848486,4471.088484848486
VIC1,2025-01-01 08:00:00,4437.292272727273,15.699696969696973,AVERAGE,4437.292272727273,4437.292272727273
VIC1,2025-01-01 08:05:00,4425.032272727272,23.69469696969697,AVERAGE,4425.032272727272,4425.032272727272
VIC1,2025-01-01 08:10:00,4432.883484848485,24.17666666666667,AVERAGE,4432.883484848485,4432.883484848485
VIC1,2025-01-01 08:15:00,4403.326818181818,27.44863636363636,AVERAGE,4403.326818181818,4403.326818181818
VIC1,2025-01-01 08:20:00,4367.202424242424,20.49636363636364,AVERAGE,4367.202424242424,4367.202424242424
VIC1,2025-01-01 08:25:00,4342.824393939393,20.275606060606066,AVERAGE,4342.824393939393,4342.824393939393
VIC1,2025-01-01 08:30:00,4313.916363636364,16.577878787878785,AVERAGE,4313.916363636364,4313.916363636364
VIC1,2025-01-01 08:35:00,4259.025000000001,19.85090909090909,AVERAGE,4259.025000000001,4259.025000000001
VIC1,2025-01-01 08:40:00,4232.559090909092,12.661363636363635,AVERAGE,4232.559090909092,4232.559090909092
VIC1,2025-01-01 08:45:00,4183.674393939394,7.698333333333334,AVERAGE,4183.674393939394,4183.674393939394
VIC1,2025-01-01 08:50:00,4154.234242424242,3.7839393939393946,AVERAGE,4154.234242424242,4154.234242424242
